ID_adresse;adresse
284;1010 GASPARD ROUX
285;815 DU DRAPEAU
286;1710 JEAN JAURES
287;2160 MONTIGNAC
288;2290 DU 11 NOVEMBRE
289;1040 DUCHON
290;1600 HUBERT COLOMBIER
291;720 DE L HORLOGE
292;88 DE L ENGIEN
293;A009 LES MELEZES
294;182 DU CAMPING
295;1090 DES MONGES
296;B052 STATION DE SAINT JEAN
297;440 DU DOCTEUR ROBERT
298;B029 LA CHAPELLE
299;9 DES AIRES
300;4 DE MAZAGRAND
301;B091 LE VILLAGE
302;24 GRANDE
303;B001 ADRECH DE CHAUVET
304;680 FRANCOIS CUZIN
305;1670 DU VALLON DE FARINE
306;B052 STATION DE SAINT JEAN
307;B030 LE VILLAGE
308;B138 PONT DE LABRAU OUEST
309;A001 LOTISSEMENT DU BERARD
310;A004 LES CHENEVRIERS
311;50 DES ALPAGES
312;1 PRINCIPALE
313;45 DES BEAUMES
314;1690 VICTOR HUGO
315;A247 LE VALLON DES SOURCES
316;1690 VICTOR HUGO
317;B073 LE SUPERSAUZE
318;B033 LE PONT
319;B081 PONT DE LABRAU
320;21 DE CARUPE
321;B081 LES HAUTES PLAINES
322;A008 LES MARGUERITES
323;1001 DE LA MAIRIE
324;B073 LE SUPERSAUZE
325;B081 LES HAUTES PLAINES
326;75 ANCIENNE RTE D FORCALQUIER
327;B007 BEAUDINE
328;1360 DE LA REPUBLIQUE
329;420 DELEUZE
330;B023 GRANDE MONTAGNE
331;B009 LES AUCHES
332;82 DES AVETTES
333;700 MARCEL ANDRE
334;B063 LACHAUD ET CHAUVET
335;103 DU DCT BERNARD FOUSSIER
336;60 ANDRE HONNORAT
337;330 DOC CASIMIR CAIRE
338;265 DES THERMES
339;B029 LA CHAPELLE
340;230 TANNERIE
341;1220 POTERIE
342;265 DES CORDELIERS
343;A023 LES LAVANDES
344;A029 LES MARMOTTES BLEUES
345;B117 LE VILLAGE
346;570 FONT CHAUDE
347;B083 SAINT PIERRE
348;2 DE LA FERRAILLE
349;B110 LA SESTRIERE
350;520 DES EAUX CHAUDES
351;335 JULES BOURDIN
352;265 DES THERMES
353;855 DE PROVENCE
354;250 DE STE ANNETTE
355;810 HENRI JAUBERT
356;265 DES THERMES
357;A031 JEANNE D ARC
358;720 MARIUS DEBOUT
359;B081 LES HAUTES PLAINES
360;A050 PRA CHAUVET
361;B001 ADRECH DE CHAUVET
362;A045 LES MELEZES
363;B052 STATION DE SAINT JEAN
364;B080 LES SAGNES
365;B081 LES HAUTES PLAINES
366;B081 LES HAUTES PLAINES
367;903 DU FRESQUIE
368;A023 LE CEZANNE
369;855 DE PROVENCE
370;520 DES EAUX CHAUDES
371;10 DU LAC
372;B161 LES VIEUX BAINS
373;150 NATIONALE
374;A019 LE CHRISTIANA
375;30 GRANDE
376;730 PAUL MARTIN NALIN
377;1000 DE L ANCIENNE MAIRIE
378;A003 LA COLETTE
379;B078 MAZAGRAND
380;A003 LA COLETTE
381;49 DU CHASTEL
382;1605 DES THERMES
383;A004 LA BERANGERE
384;2 GEORGES DE SALVE
385;80 DES ARCADES
386;35 DES AJONCS
387;793 JEAN MOULIN
388;35 DES ALPES
389;685 DES SALETTES
390;B019 CHANTEMERLE
391;A028 LA PETITE OURSE 2
392;870 DE L HUBAC
393;A022 L EDELWEISS
394;1340 SAINT PROMASSE
395;470 DU LAC
396;255 DE LA REPUBLIQUE
397;240 GRENETTE
398;682 LOUIS ANDRIEUX
399;317 PIERRE MAITRE
400;B081 LES HAUTES PLAINES
401;1060 DES PRISONS
402;60 DE L ARMISTICE
403;A025 LE SCHUSS 3
404;700 MARCEL ANDRE
405;456 REINE DES ALPES
406;B106 LE SEIGNUS BAS
407;745 GENERAL DE GAULLE
408;B094 STATION DU GRAND PUY
409;423 DES PASQUIERS
410;14 DU FOUR
411;B058 LE VILLAGE
412;B078 LE VILLAGE
413;175 CHARLES DE GAULLE
414;A044 LA TOVIERE
415;A010 LES MELEZES ROI SOLEIL
416;A010 LES MELEZES ROI SOLEIL
417;A010 LES MELEZES ROI SOLEIL
418;B009 LES AUCHES
419;530 TRAVERSIERE
420;A030 LA LUQUECE
421;525 JEAN GIONO
422;B106 LE SEIGNUS BAS
423;140 DU MITAN
424;73 DE COCODY
425;A039 LA SAPINIERE
426;B116 LES PLAINES
427;A038 LA ROCHAILLE
428;B033 LE PONT
429;1655 DU TRIBUNAL
430;710 GASSENDI
431;280 ELEMIR BOURGES
432;B081 PONT DE LABRAU
433;550 DE VILLEVIEILLE
434;B009 LES AUCHES
435;B049 LES CHABRANDS
436;B168 LE CLOS DE L EDEN
437;250 DE STE ANNETTE
438;418 DU GALOUBET
439;70 DES EAUX CHAUDES
440;B106 LE SEIGNUS BAS
441;984 DES SAVELS
442;24 GRANDE
443;1420 SAINT CHARLES
444;B033 LE PONT
445;870 DE L HUBAC
446;A014 LES LOUVES
447;B116 LES PLAINES
448;A032 LE MONOIKOS
449;X023 LES BALCONS DU SOLEIL
450;A032 LE MONOIKOS
451;22 DE LA GRANDE FONTAINE
452;790 JEAN JAURES
453;B069 RAVEL
454;B050 PEYRE CHOUSSOUS
455;B004 BARBA
456;11 DE L ARCHEVECHE
457;B130 PIED DE CHANCHORE
458;92 MARTIAL LUCIEN
459;B268 SERRE PAIX
460;B202 MERLETTE
461;3 AICARDI HUBERT
462;64 TETE D'AMONT
463;27 CHARLES DE GAULLE
464;B069 RAVEL
465;331 FRANCOIS CHABAS
466;550 MAURICE PETSCHE
467;610 PASTEUR
468;1750 DES REMPARTS
469;B322 LA JOUE DU LOUP
470;B019 LA CHAPELLE
471;610 PASTEUR
472;B001 L ADROIT D'ABRIES
473;650 CDT DUMONT
474;A030 LES AGNEAUX
475;114 DES MARTYRS
476;400 GRANDE RUE
477;240 COTE GELEE
478;10 ADRIEN DAURELLE
479;B202 MERLETTE
480;B142 LE LACAS
481;480 VARANFRAIN
482;B023 LES CHALPS
483;374 GEN DE GAULLE
484;B022 LES BERNARDS
485;B022 CLOT DES LEOTHAUDS
486;2280 VICTOR HUGO
487;149 ST JULIEN
488;23 BARTHELON
489;1200 JEAN EYMAR
490;B235 ENTRE LA VIA
491;B134 LES ILES
492;A100 LES ISSARTS
493;610 PASTEUR
494;1071 DE GRAFFINEL
495;B202 MERLETTE
496;B202 MERLETTE
497;B419 LE ROCHAS
498;B014 LE BOIS D AUROUZE
499;882 DE LA TOUR
500;B230 SUPER DEVOLUY
501;B202 MERLETTE
502;2240 DE VALSERRES
503;B280 LA GRANDE SAGNE
504;80 JEAN JAURES
505;B021 FONTAINEBLEAU
506;B230 SUPER DEVOLUY
507;41 GEN ALBERT
508;B202 MERLETTE
509;B114 LA TARTARASSE
510;B030 BOIS DE LA BLACHE
511;B322 LA JOUE DU LOUP
512;B112 PRE LALLEGRE
513;B014 LE BOIS D AUROUZE
514;1393 DES MARRONNIERS
515;18 DES EYGUIERES
516;127 PRE LAGRANGE
517;B072 LES EYSSARDS DE PELVOUX
518;B101 SAINT FERREOL
519;B028 LE CHEF LIEU
520;A037 LES JARDINS DU MORGON
521;B014 LE BOIS D AUROUZE
522;B322 LA JOUE DU LOUP
523;B056 LES ESCOUNDUS
524;B041 CANARD
525;B014 LE BOIS D AUROUZE
526;18 ALBERT BOURGES
527;B120 LES UBACS
528;B029 CLOT PEOUILLOUX
529;B022 LE CHATEAU
530;140 DE LA LIBERTE
531;B113 PRE LONGIS
532;B107 PRE DES LAGIERS
533;610 PASTEUR
534;B023 LES CHALPS
535;B095 PELINCHE
536;B193 SERRE SERRET
537;820 EMILE ZOLA
538;24 DU CLOT CHENU
539;B107 LES QUEYRETS ET PEYRON
540;368 DE LA GUISANE
541;B113 PRE LONGIS
542;B134 LES ILES
543;5600 ROSSINI
544;3535 LAMARTINE
545;3975 MARCEAU
546;4685 PAPE JEAN 23
547;3535 LAMARTINE
548;3235 HEROLD
549;1000 DE LA BUFFA
550;2985 GOUNOD
551;1805 CYRILLE BESSET
552;405 ASSALIT
553;6285 STALINGRAD
554;6715 VILLERMONT
555;28 DE LA BANQUIERE
556;4035 MAL VAUBAN
557;6575 VALROSE
558;5435 DE LA REPUBLIQUE
559;6285 STALINGRAD
560;2505 FONCET
561;2870 GEORGE  5
562;6275 SPITALIERI
563;4020 DU MARECHAL JOFFRE
564;3970 MARALDI
565;1410 CIMIEZ
566;B025 COL DE VILLEFRANCHE
567;1286 CHANOINE ALBIN
568;4350 DU MONT BORON
569;4020 DU MARECHAL JOFFRE
570;6285 STALINGRAD
571;465 AUGUSTE RAYNAUD
572;610 BARLA
573;1920 DESAMBROIS
574;1180 CASSINI
575;780 BENOIT BUNICO
576;4585 DE L OPERA
577;780 BENOIT BUNICO
578;390 ARSON
579;6620 VERDI
580;1785 CRONSTADT
581;1265 DE CESSOLE
582;4090 MASCOINAT
583;485 LEON DELOYE
584;6635 VERNIER
585;3472 JOSEPH GAZAN
586;2950 GIOFFREDO
587;455 AUGUSTE GAL
588;4915 PAULIANI
589;2828 GENERAL LOUIS DELFINO
590;1440 CLAIRE VIRENQUE
591;4120 MASSINGY
592;2295 EMMANUEL PHILIBERT
593;6620 VERDI
594;3080 GUBERNATIS
595;80 DE L ARBRE
596;2680 FRERE MARC
597;3475 JOSEPH GARNIER
598;6655 VICTOR HUGO
599;3615 DE LEPANTE
600;1820 DABRAY
601;200 DU CHATEAU
602;70 ANTOINE SCOFFIER
603;3240 HESPERIDES
604;4447 DES MOULINS
605;555 BARBERIS
606;60 ALBERT VOISIN
607;6455 TRACHEL
608;2950 GIOFFREDO
609;4310 MIRON
610;10 ABBAYE
611;3475 JOSEPH GARNIER
612;6065 SAINTE REPARATE
613;6235 SMOLETT
614;5485 DE RIQUIER
615;6575 VALROSE
616;6705 VILLEBOIS MAREUIL
617;5600 ROSSINI
618;2610 FRANCK PILATTE
619;1265 DE CESSOLE
620;1180 CASSINI
621;365 FUON DAOU MAGISTRE
622;5383 RAYMOND COMBOUL
623;5975 SAINT VINCENT
624;445 AUGUSTE BERCY
625;910 BORRIGLIONE
626;3115 GUSTAVE DELOYE
627;2610 FRANCK PILATTE
628;885 BONAPARTE
629;220 DU 8 MAI 1945
630;1885 DELILLE
631;3535 LAMARTINE
632;759 DU ROSTIT
633;350 FRANCOIS SUAREZ
634;5485 DE RIQUIER
635;3372 JEAN MEDECIN
636;2755 GAMBETTA
637;6620 VERDI
638;6245 DU SOLEIL
639;290 D ANVERS
640;6290 STEPHEN LIEGEARD
641;1915 DESAMBROIS
642;1760 DES CRETES
643;2102 DUBOUCHAGE
644;4940 PENCHIENATTI
645;850 DES BOERS
646;950 DE BRANCOLAR
647;2880 G CLEMENCEAU
648;6480 DE TURIN
649;5205 DES PONCHETTES
650;2910 GIACOBI
651;4805 PARMENTIER
652;5600 ROSSINI
653;2785 GARIBALDI
654;5805 SAINT JEAN BAPTISTE
655;3573 LAURENT GIAUME
656;3255 L HOTEL POSTES
657;4020 DU MARECHAL JOFFRE
658;405 ASSALIT
659;6255 SORGENTINO
660;630 PASTEUR
661;5240 DE LA PREFECTURE
662;5240 DE LA PREFECTURE
663;1655 DU CONGRES
664;1470 CLEMENT ROASSAL
665;5195 DE LA POISSONNERIE
666;4275 MIRABEAU
667;2102 DUBOUCHAGE
668;2280 EMMA ET PHILIPPE TIRANTY
669;390 ARSON
670;3970 MARALDI
671;103 DU FALICONET
672;5460 RIBOTTI
673;5640 DE RUSSIE
674;60 ALBERT VOISIN
675;360 ARMEE DES ALPES
676;6285 STALINGRAD
677;5570 DE ROQUEBILLIERE
678;6620 VERDI
679;5420 RENE BOYLESVE
680;2295 EMMANUEL PHILIBERT
681;885 BONAPARTE
682;4025 MARECHAL LYAUTEY
683;6455 TRACHEL
684;6490 URBAIN BOSIO
685;1865 DE ORESTIS
686;456 AUGUSTE GAL PROLONGEE
687;2970 GORBELLA
688;3810 MACCARANI
689;350 FRANCOIS SUAREZ
690;2828 GENERAL LOUIS DELFINO
691;3090 GUIGLIA
692;2510 FONTAINE DE LA VILLE
693;715 DE BELGIQUE
694;2828 GENERAL LOUIS DELFINO
695;790 BERLIOZ
696;2895 GEORGES VILLE
697;2102 DUBOUCHAGE
698;4025 MARECHAL LYAUTEY
699;6665 VICTOR JUGE
700;790 BERLIOZ
701;28 DE LA BANQUIERE
702;6480 DE TURIN
703;350 FRANCOIS SUAREZ
704;3000 GRAVIER
705;3090 GUIGLIA
706;3160 GUYNEMER
707;3535 LAMARTINE
708;1130 CARAVADOSSI
709;5635 RUSCA
710;3697 LISERB
711;5485 DE RIQUIER
712;3975 MARCEAU
713;2495 FODERE
714;A100 GUIGONIS ST FRANCOIS
715;6455 TRACHEL
716;1970 DIDEROT
717;2495 FODERE
718;1410 CIMIEZ
719;1760 DES CRETES
720;2610 FRANCK PILATTE
721;5345 RAIMBALDI
722;2828 GENERAL LOUIS DELFINO
723;3505 JULES GILLY
724;B033 IBAC SUPERIEUR
725;3255 L HOTEL POSTES
726;6710 VILLENEUVE
727;625 BARRALIS
728;A040 RUE CH BAUDELAIRE
729;4015 MARECHAL FOCH
730;402 GASTON ARNULF
731;2295 EMMANUEL PHILIBERT
732;5435 DE LA REPUBLIQUE
733;2625 FRANCOIS CARLO
734;2595 DE FRANCE
735;2828 GENERAL LOUIS DELFINO
736;2125 DURANTE
737;1360 CHATEAUBRIAND
738;27 ABBE SALVETTI
739;2950 GIOFFREDO
740;860 STALINGRAD
741;1590 COLONNA D ISTRIA
742;2755 GAMBETTA
743;790 BERLIOZ
744;280 ANTONIA AUGUSTA
745;4085 MARTIN SEYTOUR
746;3240 HESPERIDES
747;4525 NOTRE DAME
748;4680 PAPACINO
749;4850 PASTORELLI
750;3240 HESPERIDES
751;2102 DUBOUCHAGE
752;5471 DE RIMIEZ
753;6770 ROMAINE
754;2102 DUBOUCHAGE
755;1010 CAGNOLI
756;4015 MARECHAL FOCH
757;1655 DU CONGRES
758;3579 LAURENTI
759;5420 RENE BOYLESVE
760;6005 SAINTE CLAIRE
761;950 DE BRANCOLAR
762;80 DE L ARBRE
763;240 DES ANGLAIS
764;1000 DE LA BUFFA
765;2950 GIOFFREDO
766;1275 CHABRIER
767;558 DES BARBETS
768;305 FERNAND LEGER
769;2740 GALLIN
770;3820 DE LA MADELEINE
771;240 DES ANGLAIS
772;1810 CYRNOS
773;1715 CORNICHE FLEURIE
774;1790 CROS DE CAPEU
775;2955 GLORIA
776;1805 CYRILLE BESSET
777;6035 SAINTE MARGUERITE
778;660 DES BAUMETTES
779;3730 LOUIS BLERIOT
780;1365 CHATEAUNEUF
781;1005 CAFFARELLI
782;5690 SAINT AUGUSTIN
783;3550 DE LA LANTERNE
784;2755 GAMBETTA
785;4965 DE PESSICART
786;3820 DE LA MADELEINE
787;1045 DE LA CALIFORNIE
788;615 BARLA
789;3820 DE LA MADELEINE
790;240 DES ANGLAIS
791;1265 DE CESSOLE
792;4390 MONT RABEAU
793;2370 DE FABRON
794;925 BOTTERO
795;1140 CARLONE
796;2675 FREMONT
797;925 BOTTERO
798;3943 MANTEGA RIGHI
799;6227 SIMONE VEIL
800;2460 FLEURS
801;5645 DES SABLIERES
802;3820 DE LA MADELEINE
803;1005 CAFFARELLI
804;1715 CORNICHE FLEURIE
805;3470 JOSEPH FRICERO
806;2755 GAMBETTA
807;2188 EDOUARD HERRIOT
808;900 DE LA BORNALA
809;2370 DE FABRON
810;2942 DE LA GINESTIERE
811;3730 LOUIS BLERIOT
812;2755 GAMBETTA
813;2810 GAY
814;1365 CHATEAUNEUF
815;5225 DES POTIERS
816;3943 MANTEGA RIGHI
817;1790 CROS DE CAPEU
818;900 DE LA BORNALA
819;1715 CORNICHE FLEURIE
820;745 DE BELLET
821;3820 DE LA MADELEINE
822;2630 FRANCOIS GROSSO
823;2370 DE FABRON
824;6485 DU TZAREWITCH
825;5895 SAINT PHILIPPE
826;3820 DE LA MADELEINE
827;240 DES ANGLAIS
828;3550 DE LA LANTERNE
829;3020 DE GRENOBLE
830;2810 GAY
831;1715 CORNICHE FLEURIE
832;240 DES ANGLAIS
833;4050 MARIE BASHKIRTSEFF
834;745 DE BELLET
835;2370 DE FABRON
836;6035 SAINTE MARGUERITE
837;1355 CHATEAU DE LA TOUR
838;6364 DE TERRON
839;4965 DE PESSICART
840;4483 NAPOLEON III
841;5525 DU ROCHER
842;925 BOTTERO
843;1045 DE LA CALIFORNIE
844;1715 CORNICHE FLEURIE
845;4483 NAPOLEON III
846;5690 SAINT AUGUSTIN
847;2370 DE FABRON
848;1045 DE LA CALIFORNIE
849;5357 RAOUL DUFY
850;3740 LOUIS COCHOIS
851;2370 DE FABRON
852;5895 SAINT PHILIPPE
853;2885 GEORGES DOUBLET
854;4975 DU PETIT FABRON
855;4965 DE PESSICART
856;1715 CORNICHE FLEURIE
857;4576 DES OLIVIERS
858;2370 DE FABRON
859;3323 JEAN BAGNIS
860;3478 JOSEPH GIORDAN
861;3210 HENRY DE CESSOLE
862;1805 CYRILLE BESSET
863;1045 DE LA CALIFORNIE
864;2325 ESTIENNE D ORVES
865;6035 SAINTE MARGUERITE
866;5910 ST PIERRE FERIC
867;745 DE BELLET
868;3820 DE LA MADELEINE
869;4576 DES OLIVIERS
870;2942 DE LA GINESTIERE
871;267 ANTOINE MARTIN
872;1715 CORNICHE FLEURIE
873;3220 HENRI SAPPIA
874;745 DE BELLET
875;1365 CHATEAUNEUF
876;2370 DE FABRON
877;3217 HENRI MATISSE
878;2885 GEORGES DOUBLET
879;5380 DU RAY
880;3545 ANC CHE DE LA LANTERNE
881;5385 RAYMOND FERAUD
882;3820 DE LA MADELEINE
883;3550 DE LA LANTERNE
884;3820 DE LA MADELEINE
885;3820 DE LA MADELEINE
886;900 DE LA BORNALA
887;2955 GLORIA
888;2370 DE FABRON
889;2705 DE GAIRAUT
890;3820 DE LA MADELEINE
891;5815 SAINT JOSEPH
892;2595 DE FRANCE
893;1070 DE CANTA GALET
894;94 ALEXIS MOSSA
895;1045 DE LA CALIFORNIE
896;925 BOTTERO
897;6513 VAL MARIE
898;5380 DU RAY
899;1045 DE LA CALIFORNIE
900;2955 GLORIA
901;1045 DE LA CALIFORNIE
902;5225 DES POTIERS
903;2150 EDEN PARK
904;3217 HENRI MATISSE
905;2595 DE FRANCE
906;2595 DE FRANCE
907;3217 HENRI MATISSE
908;1140 CARLONE
909;2370 DE FABRON
910;2885 GEORGES DOUBLET
911;235 ANGELIQUE BRAQUET
912;4965 DE PESSICART
913;1040 DU CAL DE SPAGNOL
914;458 AUGUSTE PEGURIER
915;2370 DE FABRON
916;5380 DU RAY
917;3357 JEAN BEHRA
918;615 BARLA
919;3820 DE LA MADELEINE
920;4425 DE MONTREAL
921;6485 DU TZAREWITCH
922;1045 DE LA CALIFORNIE
923;925 BOTTERO
924;2370 DE FABRON
925;4965 DE PESSICART
926;3374 JEAN MERMOZ
927;3852 DE LA MADONETTE DE TERRON
928;5380 DU RAY
929;1715 CORNICHE FLEURIE
930;3734 LOUIS CAPPATTI
931;900 DE LA BORNALA
932;3358 JEAN CANAVESE
933;2595 DE FRANCE
934;3470 JOSEPH FRICERO
935;3887 DE MAGNAN
936;1805 CYRILLE BESSET
937;2755 GAMBETTA
938;4425 DE MONTREAL
939;2325 ESTIENNE D ORVES
940;1715 CORNICHE FLEURIE
941;2460 FLEURS
942;5380 DU RAY
943;925 BOTTERO
944;2595 DE FRANCE
945;1265 DE CESSOLE
946;660 DES BAUMETTES
947;745 DE BELLET
948;900 DE LA BORNALA
949;3550 DE LA LANTERNE
950;2370 DE FABRON
951;900 DE LA BORNALA
952;4483 NAPOLEON III
953;4740 PARC IMPERIAL
